タイトル,巻数,著者・編者,出版年,出版機関・出版社
愛知縣史蹟名勝天然紀念物調査報告,8,愛知県,19300300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,9,愛知県,19310300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,10,愛知県,19320300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,11,愛知県,19330300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,12,愛知県,19340300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,13,愛知県,19350300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,14,愛知県,19360300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,15,愛知県,19370300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,16,愛知県,19380300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,17,愛知県,19390300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,18,愛知県,19400300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,19,愛知県,19410300,愛知県教育委員会
愛知縣史蹟名勝天然紀念物調査報告,20,愛知県,19420300,愛知県教育委員会
尾北地区・三河地区,,愛知県教育委員会,19830000,愛知県教育委員会
瀬戸・藤岡,,愛知県教育委員会,19850000,愛知県教育委員会
渥美古窯跡群,,愛知県教育委員会,19860300,愛知県教育委員会
常滑古窯跡群,,愛知県教育委員会,19880000,愛知県教育委員会
愛知県埋蔵文化財情報,1,愛知県教育委員会,19860300,愛知県教育委員会
愛知県埋蔵文化財情報,2,愛知県教育委員会,19870300,愛知県教育委員会
愛知県埋蔵文化財情報,3,愛知県教育委員会,19880300,愛知県教育委員会
愛知県埋蔵文化財情報,4,愛知県教育委員会,19890300,愛知県教育委員会
愛知県埋蔵文化財情報,5,愛知県教育委員会,19900300,愛知県教育委員会
愛知県埋蔵文化財情報,6,愛知県教育委員会,19910300,愛知県教育委員会
愛知県埋蔵文化財情報,7,愛知県教育委員会,19920300,愛知県教育委員会
愛知県埋蔵文化財情報,8,愛知県教育委員会,19930300,愛知県教育委員会
愛知県埋蔵文化財情報,9,愛知県教育委員会,19940300,愛知県教育委員会
愛知県埋蔵文化財情報,10,愛知県教育委員会,19950300,愛知県教育委員会
愛知県埋蔵文化財情報,11,愛知県教育委員会,19960300,愛知県教育委員会
愛知県埋蔵文化財情報,12,愛知県教育委員会,19970300,愛知県教育委員会
愛知県埋蔵文化財情報,13,愛知県教育委員会,19980300,愛知県教育委員会
愛知県埋蔵文化財情報,14,愛知県教育委員会,19990300,愛知県教育委員会
愛知県埋蔵文化財情報,15,愛知県教育委員会,20000300,愛知県教育委員会
愛知県埋蔵文化財情報,16,愛知県教育委員会,20010300,愛知県教育委員会
愛知県埋蔵文化財情報,17,愛知県教育委員会,20020300,愛知県教育委員会
愛知県埋蔵文化財情報,18,愛知県教育委員会,20030300,愛知県教育委員会
愛知県埋蔵文化財情報,19,愛知県教育委員会,20040300,愛知県教育委員会
愛知県埋蔵文化財情報,21,愛知県教育委員会,20060331,愛知県教育委員会
愛知県文化財地図,,愛知県教育委員会,19550000,愛知県教育委員会
愛知県猿投山西南麓古窯址群,昭和31年,愛知県教育委員会,19560000,愛知県教育委員会
愛知県猿投山西南麓古窯址群,昭和32年,愛知県教育委員会,19570000,愛知県教育委員会
愛知県猿投山西南麓古窯址群,昭和33年,愛知県教育委員会,19580000,愛知県教育委員会
愛知県猿投山西南麓古窯址群,昭和34年,愛知県教育委員会,19590000,愛知県教育委員会
遺跡分布調査報告,尾張篇,愛知県教育委員会,19590331,愛知県教育委員会
愛知県文化財地図,,愛知県教育委員会,19590400,愛知県教育委員会
愛知県知多古窯址群,昭和35年,愛知県教育委員会,19600300,愛知県教育委員会
愛知県知多古窯址群,昭和36年,愛知県教育委員会,19610300,愛知県教育委員会
遺跡分布調査報告,三河篇,愛知県教育委員会,19610330,愛知県教育委員会
愛知県知多古窯址群,昭和37年,愛知県教育委員会,19620300,愛知県教育委員会
愛知県文化財地図,,愛知県教育委員会,19650000,愛知県教育委員会
史跡北野廃寺発掘調査図集,,愛知県教育委員会,19650300,愛知県教育委員会
豊川用水路関係遺跡調査報告,,愛知県教育委員会,19650300,愛知県教育委員会
渥美半島埋蔵文化財調査報告,昭和41年度,愛知県教育委員会,19670000,愛知県教育委員会
東名高速道路関係埋蔵文化財調査報告,昭和40・41年度(第1・2・3次),愛知県教育委員会,19670000,愛知県教育委員会
愛知県文化財地図,,愛知県教育委員会,19680000,愛知県教育委員会
史跡三河国分尼寺跡発掘調査図集,,愛知県教育委員会,19680300,愛知県教育委員会
知多半島道路県道半田南知多公園線関係埋蔵文化財調査報告,,愛知県,19680300,愛知県教育委員会
知多半島道路埋蔵文化財調査報告,,日本道路公団,19690000,愛知県教育委員会
愛知県旭浄水場古窯址調査報告,,愛知県教育委員会,19690300,愛知県教育委員会
中央道関係埋蔵文化財調査報告,,愛知県教育委員会,19700000,愛知県教育委員会
穴田古墳群,1,瀬戸市教育委員会,19700000,愛知県教育委員会
朝日貝塚予備調査報告,,愛知県教育委員会,19700300,愛知県教育委員会
愛知県内国・県指定文化財図録,,愛知県教育委員会,19710000,愛知県教育委員会
県立児童総合遊園内埋蔵文化財調査報告,,愛知県教育委員会,19710000,愛知県教育委員会
愛知県遺跡分布図,,愛知県教育委員会,19720000,愛知県教育委員会
貝殻山貝塚調査報告,,愛知県教育委員会,19720000,愛知県教育委員会
朝日遺跡群発掘調査中間概報,1,愛知県教育委員会,19730300,愛知県教育委員会
穴田古墳群,2,瀬戸市教育委員会,1973,愛知県教育委員会
内海鈴が谷古窯調査報告,,愛知県教育委員会,19740200,愛知県教育委員会
重要遺跡指定促進調査報告,1,愛知県教育委員会,19740300,愛知県教育委員会
朝日遺跡群発掘調査中間概報,2,愛知県教育委員会,19740300,愛知県教育委員会
環状2号線関係朝日遺跡群第1次調査報告,,愛知県教育委員会,19750300,愛知県教育委員会
朝日遺跡群発掘調査中間概報,3,愛知県教育委員会,19760300,愛知県教育委員会
重要遺跡指定促進調査報告,2,愛知県教育委員会,19770300,愛知県教育委員会
朝日遺跡群発掘調査中間概報,4,愛知県教育委員会,19770300,愛知県教育委員会
東海市加木屋古窯発掘調査報告,,愛知県教育委員会,19770300,愛知県教育委員会
重要遺跡指定促進調査報告,3,愛知県教育委員会,19780300,愛知県教育委員会
朝日遺跡群発掘調査中間概報,5,愛知県教育委員会,19780300,愛知県教育委員会
重要遺跡指定促進調査報告,4,愛知県教育委員会,19790000,愛知県教育委員会
朝日遺跡群発掘調査中間概報,6,愛知県教育委員会,19790300,愛知県教育委員会
朝日遺跡群範囲確認緊急調査報告,,愛知県教育委員会,19790300,愛知県教育委員会
桃花台ニュータウン遺跡調査報告,1,小牧市教育委員会,19760330,愛知県教育委員会
桃花台ニュータウン遺跡調査報告,2,小牧市教育委員会,19790331,愛知県教育委員会
重要遺跡指定促進調査報告,5,愛知県教育委員会,19800000,愛知県教育委員会
朝日遺跡群発掘調査中間概報,7,愛知県教育委員会,19800300,愛知県教育委員会
愛知県猿投山西南麓古窯跡群分布調査報告,1,愛知県教育委員会,19800300,愛知県教育委員会
重要遺跡指定促進調査報告,6,愛知県教育委員会,19810300,愛知県教育委員会
朝日遺跡群発掘調査中間概報,8,愛知県教育委員会,19810300,愛知県教育委員会
愛知県猿投山西南麓古窯跡群分布調査報告,2,愛知県教育委員会,19810300,愛知県教育委員会
一宮南高校平松遺跡発掘調査報告書,,県立一宮南高校地内埋蔵文化財発掘調査団,19810300,愛知県教育委員会
桃花台ニュータウン遺跡調査報告,3,小牧市教育委員会,19810930,愛知県教育委員会
環状2号線関係発掘調査中間概報,1,愛知県教育サービスセンター,19820000,愛知県教育委員会
朝日遺跡,1(本文篇1),愛知県教育委員会,19820330,愛知県教育委員会
朝日遺跡,2(本文篇2・図版篇),愛知県教育委員会,19820330,愛知県教育委員会
朝日遺跡,3(遺構図版篇),愛知県教育委員会,19820330,愛知県教育委員会
朝日遺跡,4(土器図版篇),愛知県教育委員会,19820330,愛知県教育委員会
桃花台ニュータウン遺跡調査報告,4,小牧市教育委員会,19820331,愛知県教育委員会
重要遺跡指定促進調査報告,7,愛知県教育委員会,19830000,愛知県教育委員会
清洲町廻間遺跡,,愛知県教育委員会,19830330,愛知県教育委員会
埋蔵文化財発掘調査年報,1(昭和57年度),愛知県教育サービスセンター,19830331,愛知県教育委員会
愛知県文化財地図,,愛知県教育委員会文化財課,19840000,愛知県教育委員会
重要遺跡指定促進調査報告,8,愛知県教育委員会,19840000,愛知県教育委員会
桃花台ニュータウン遺跡調査報告,5,小牧市教育委員会,19840229,愛知県教育委員会
埋蔵文化財発掘調査年報,2(昭和58年度),愛知県教育サービスセンター,19840331,愛知県教育委員会
桃花台ニュータウン遺跡調査報告,6,小牧市教育委員会,19840900,愛知県教育委員会
埋蔵文化財発掘調査年報,3(昭和59年度),愛知県教育サービスセンター,19850331,愛知県教育委員会
愛知県遺跡分布地図,1 尾張地区,愛知県教育委員会,19860000,愛知県教育委員会
愛知県遺跡分布地図,2 知多・西三河,愛知県教育委員会,19880000,愛知県教育委員会
愛知県遺跡分布地図,3 東三河地区,愛知県教育委員会,19900000,愛知県教育委員会
南山8号・9-AからD号窯発掘調査報告,,愛知県陶磁資料館,19910300,愛知県教育委員会
桃花台ニュータウン遺跡調査報告,7,小牧市教育委員会,19910900,愛知県教育委員会
愛知県文化財地図,,愛知県教育委員会文化財課,19920300,愛知県教育委員会
愛知県遺跡地図,1 尾張地区,愛知県教育委員会,19940300,愛知県教育委員会
愛知県遺跡地図,2 知多・西三河地区,愛知県教育委員会,19950300,愛知県教育委員会
愛知県遺跡地図,2 知多・西三河地区(遺跡地名表),愛知県教育委員会,19950300,愛知県教育委員会
万博候補地内遺跡詳細分布調査報告書,,愛知県教育委員会文化財課,19950300,愛知県教育委員会
愛知県遺跡地図,3 東三河地区,愛知県教育委員会,19960300,愛知県教育委員会
愛知県遺跡地図,3 東三河地区(遺跡地名表),愛知県教育委員会,19960300,愛知県教育委員会
代替無線統制室建設にともなう埋蔵文化財発掘調査報告書,,愛知県教育委員会,19970331,愛知県教育委員会
愛知県史研究,創刊号,「愛知県史研究」編集委員会,19970331,愛知県教育委員会
詳細遺跡分布調査報告書,,愛知県教育委員会,20070300,愛知県教育委員会
詳細遺跡分布調査報告書,,愛知県教育委員会,20090300,愛知県教育委員会
内田町遺跡,,愛知県教育委員会,20090331,愛知県教育委員会
堀尾氏邸宅跡,,"愛知県教育委員会, 愛知県埋蔵文化財センター, 国際文化財",20100312,愛知県教育委員会
愛知県文化財地図,,愛知県教育委員会,,愛知県教育委員会
福住古窯址群,,新巽ヶ丘団地関係遺跡調査団,19780301,阿久比町
坂部城,,坂部城調査団,19830300,阿久比町
池之浦古窯,,阿久比町教育委員会,19861001,阿久比町
上芳池古窯址群調査概報,,阿久比町教育委員会,19870300,阿久比町
比沙田古窯址群調査報告,,阿久比町教育委員会,19890300,阿久比町
上芳池古窯址群調査報告,,阿久比町教育委員会,19900301,阿久比町
大砂古窯址群調査報告,,阿久比町教育委員会,19931201,阿久比町
桜谷古窯址群調査報告,,阿久比町教育委員会,19950228,阿久比町
親田古窯址群調査報告,,阿久比町教育委員会,19960328,阿久比町
菅廻間古窯址群・大沢古窯址群調査報告,,阿久比町教育委員会,19970320,阿久比町
小白根古窯址群,,阿久比町教育委員会,19980325,阿久比町
上親田古窯址群,,阿久比町教育委員会,19990325,阿久比町
八ヶ谷古窯址群調査報告書,,阿久比町教育委員会,20010323,阿久比町
宮津板山古窯址群調査報告書,,"宮津板山C古窯発掘調査団, 宮津板山F古窯発掘調査団, 阿久比町教育委員会",20090310,阿久比町
日置八幡宮遺跡,,愛西市教育委員会,20120331,愛西市
八竜遺跡,,イビソク,20160331,愛西市
ほ場整備事業関係遺跡範囲確認調査,,旭町教育委員会,19800300,"豊田市
旭町"
大砂遺跡,1,旭町教育委員会,19820000,"豊田市
旭町"
墓ノ入古墓,,旭町教育委員会,19820325,"豊田市
旭町"
落合遺跡,,旭町教育委員会,19820325,"豊田市
旭町"
大砂遺跡,2,旭町教育委員会,19850325,"豊田市
旭町"
大屋敷遺跡,,東加茂郡足助町,19700301,"豊田市
足助町"
真弓山城跡調査報告書,,,19770000,"豊田市
足助町"
大摺B遺跡,,足助町教育委員会,19770330,"豊田市
足助町"
今朝平遺跡概報,,足助町教育委員会,19791001,"豊田市
足助町"
土地基盤整備事業に伴う埋蔵文化財確認調査,,足助町教育委員会,19800315,"豊田市
足助町"
土地基盤整備事業に伴う埋蔵文化財確認調査,2,足助町教育委員会,19810316,"豊田市
足助町"
馬場遺跡概報,,足助町教育委員会,19810330,"豊田市
足助町"
土地基盤整備事業に伴う埋蔵文化財確認調査,3,足助町教育委員会,19820330,"豊田市
足助町"
追分山ノ神・林・仏田遺跡,,足助町教育委員会,19820330,"豊田市
足助町"
塩狭間古窯,,足助町教育委員会,19830330,"豊田市
足助町"
土地基盤整備事業に伴う埋蔵文化財確認調査,4,足助町教育委員会,19850330,"豊田市
足助町"
寺ノ下遺跡,,足助町教育委員会,19860331,"豊田市
足助町"
御堂遺跡,,足助町教育委員会,19870200,"豊田市
足助町"
大麦田遺跡概報,,足助町教育委員会,19870331,"豊田市
足助町"
上貝戸・瀧脇遺跡発掘調査概報,,足助町教育委員会,19950300,"豊田市
足助町"
大久手・磆羅遺跡発掘調査報告書,,足助町教育委員会,19950300,"豊田市
足助町"
伊川津遺跡,本文編,伊川津遺跡発掘調査団,19880300,"田原市
渥美町"
伊川津遺跡,図版編,伊川津遺跡発掘調査団,19880300,"田原市
渥美町"
藤原古墳群,,渥美町教育委員会,19880300,"田原市
渥美町"
伊川津遺跡,1992年度調査,伊川津遺跡調査会,19950300,"田原市
渥美町"
泉福寺中世墳墓,,渥美町教育委員会,20040331,"田原市
渥美町"
伊川津貝塚,,伊川津貝塚編集委員会,19721103,"田原市
渥美町"
皿焼古窯址群調査概報,,小野田 勝一,19790300,"田原市
渥美町"
皿焼古窯跡群第2次調査概報,,,19841000,"田原市
渥美町"
伊川津遺跡調査概報,,伊川津遺跡発掘調査団,19850300,"田原市
渥美町"
御用地遺跡,,安城市教育委員会,19960930,安城市
小薮遺跡・東端貝塚・寺下貝塚発掘調査報告書,,安城市教育委員会,19970731,安城市
桜林遺跡,,安城市教育委員会,19980331,安城市
本神遺跡,,安城市教育委員会,19981200,安城市
石川丈山邸址,,安城市教育委員会,19990331,安城市
中狭間遺跡,,安城市教育委員会,20000331,安城市
安祥城址・寒池遺跡・郷裏遺跡,,安城市教育委員会,20000331,安城市
釈迦山遺跡,,安城市教育委員会,20010330,安城市
古井堤遺跡・二タ子遺跡,,安城市教育委員会,20020320,安城市
鹿乗川流域遺跡群,1,安城市教育委員会,20020331,安城市
宮下遺跡,1,安城市教育委員会,20030320,安城市
寺領廃寺,,安城市教育委員会,20040331,安城市
鹿乗川流域遺跡群,2,安城市教育委員会,20040331,安城市
姫下遺跡・大畑遺跡・長先遺跡,,安城市教育委員会,20041031,安城市
鹿乗川流域遺跡群,3,安城市教育委員会,20050331,安城市
亀塚遺跡,1,安城市教育委員会,20060228,安城市
鹿乗川流域遺跡群,4,安城市教育委員会,20060331,安城市
亀塚遺跡,2,安城市教育委員会,20070131,安城市
史跡二子古墳,,安城市教育委員会,20070331,安城市
野辺遺跡,,安城市教育委員会,20080331,安城市
鹿乗川流域遺跡群,5,安城市教育委員会,20080331,安城市
堀内貝塚,,安城市教育委員会,20090331,安城市
鹿乗川流域遺跡群,6,安城市教育委員会,20090331,安城市
山崎遺跡・山崎城址,,安城市教育委員会,20100226,安城市
別郷廃寺・河原遺跡・向田遺跡,,安城市教育委員会,20100326,安城市
鹿乗川流域遺跡群,7,安城市教育委員会,20110331,安城市
史跡姫小川古墳,,安城市教育委員会,20110331,安城市
惣作遺跡,,"安城市教育委員会, 国際文化財",20120331,安城市
本證寺境内地,1,安城市教育委員会,20120300,安城市
彼岸田遺跡,,安城市教育委員会,20130331,安城市
宮下遺跡,2,安城市教育委員会,20130331,安城市
塚下遺跡,,安城市教育委員会,20140331,安城市
本證寺境内地,2,安城市教育委員会,20140331,安城市
塔之元遺跡・大畑遺跡2,,安城市教育委員会,20150331,安城市
姫塚古墳・姫塚遺跡・崖古墳・姫遺跡,,安城市教育委員会,20150331,安城市
市内遺跡調査報告,平成24年度,安城市教育委員会,20150331,安城市
市内遺跡調査報告,平成5年度～13年度,安城市教育委員会,20160331,安城市
市内遺跡調査報告,平成25年度,安城市教育委員会,20160331,安城市
岩根城跡・安城古城跡,,安城市教育委員会,20170331,安城市
市内遺跡調査報告,平成26年度,安城市教育委員会,20170731,安城市
神ノ木遺跡,第1分冊/第2分冊,安城市教育委員会,20180331,安城市
高畑遺跡,,安城市教育委員会,20190331,安城市
市内遺跡調査報告　,平成27・28年度,安城市教育委員会,20190331,安城市
安城市西鹿乗地区の遺跡　,,安城市教育委員会,20200327,安城市
市内遺跡調査報告　,平成29年度,安城市教育委員会,20200331,安城市
市内遺跡調査報告　,平成30・31年度,安城市教育委員会,20210331,安城市
史跡本證寺境内,,安城市教育委員会,20210331,安城市
安城市西鹿乗地区の遺跡　,2,安城市教育委員会,20220331,安城市
市内遺跡調査報告　,平成14～17年度,安城市教育委員会,20220331,安城市
安祥城址,,安城市教育委員会,19930300,安城市
長福寺廃寺発掘調査報告,,一宮市教育委員会,19740000,一宮市
馬見塚遺跡範囲確認調査報告,,一宮市教育委員会,19750000,一宮市
丹陽町池之上遺跡発掘調査報告,,三ツ井池之上発掘調査会,19790310,一宮市
尾張病院山中遺跡発掘調査報告,,一宮市教育委員会,19820000,一宮市
重要遺跡範囲確認調査概要報告書,,"一宮市博物館, 一宮市教育委員会",19900331,一宮市
市内遺跡発掘調査概要報告書,1,"一宮市博物館, 一宮市教育委員会",19920331,一宮市
市内遺跡発掘調査概要報告書,2,一宮市教育委員会,19930300,一宮市
法圓寺中世墓遺跡発掘調査報告書,,"一宮市博物館, 一宮市教育委員会",19950331,一宮市
元屋敷遺跡発掘調査報告書,3,"一宮市博物館, 一宮市教育委員会",20000331,一宮市
西大門遺跡・飯守神遺跡・五輪ヶ淵遺跡発掘調査報告書,,"一宮市博物館, 一宮市教育委員会",20020331,一宮市
元屋敷遺跡発掘調査報告書,2,"一宮市博物館, 一宮市教育委員会",20040331,一宮市
伝法寺廃寺発掘調査報告書,,"一宮市博物館, 一宮市教育委員会",20060331,一宮市
浅井町内遺跡発掘調査報告書,,一宮市教育委員会,20070300,一宮市
元屋敷遺跡発掘調査報告書,1 弥生土器編,"一宮市博物館, 一宮市教育委員会",20080331,一宮市
元屋敷遺跡発掘調査報告書,1 石器編,一宮市博物館,20100331,一宮市
服部元之氏採集資料,,一宮市教育委員会,20120331,一宮市
苅安賀遺跡発掘調査報告書,,一宮市博物館,20160331,一宮市
林野鷺宮遺跡発掘調査報告書,,イビソク名古屋支店,20231000,一宮市
同者遺跡発掘調査報告書,,"一宮市教育委員会, 浅井古墳群発掘調査会",19911031,一宮市
市内遺跡分布地図(東部)及び手引き,,,20130000,一宮市
大平遺跡発掘調査報告書,,尾西市教育委員会,19900300,一宮市
東苅安賀道遺跡発掘調査報告書,,尾西市教育委員会,19970331,一宮市
勝川遺跡調査概報,,一宮町教育委員会,19780300,"豊川市
一宮町"
赤羽根遺跡調査概報,,権田 昇,19810300,"豊川市
一宮町"
出土遺物,古墳時代〜歴史時代,一宮町文化財審議委員会,19820331,"豊川市
一宮町"
天王遺跡発掘調査報告書,,一宮町教育委員会,19840300,"豊川市
一宮町"
炭焼平第37・38・39号墳発掘調査報告書,,一宮町教育委員会,19850300,"豊川市
一宮町"
御薗遺跡発掘調査報告書,,一宮町教育委員会,19860200,"豊川市
一宮町"
一宮東部地区ほ場整備事業に伴う埋蔵文化財発掘調査報告書,,一宮町教育委員会,19870228,"豊川市
一宮町"
柴崎第1号墳発掘調査報告書,,一宮町教育委員会,19870331,"豊川市
一宮町"
一宮東部地区ほ場整備事業に伴う埋蔵文化財発掘調査報告書,2,一宮町教育委員会,19880228,"豊川市
一宮町"
宮沢遺跡,,一宮町教育委員会,19890300,"豊川市
一宮町"
一宮町遺跡・文化財地図,,一宮町教育委員会,19900300,"豊川市
一宮町"
段林遺跡試掘調査報告書,,一宮町教育委員会,19910331,"豊川市
一宮町"
段囃子遺,,一宮町教育委員会,19910331,"豊川市
一宮町"
城山,,一宮町教育委員会,19950331,"豊川市
一宮町"
舟山4号墳,,一宮町教育委員会,19960331,"豊川市
一宮町"
手取古墳群,,一宮町教育委員会,20000331,"豊川市
一宮町"
炭焼平古墳群,,一宮町教育委員会,20040300,"豊川市
一宮町"
稲沢市大里付近出土の遺物,,稲沢市教育委員会,19720000,稲沢市
流遺跡発掘調査報告,,稲沢市教育委員会,19750000,稲沢市
尾張国府跡発掘調査報告書,1,稲沢市教育委員会,19790331,稲沢市
東畑廃寺跡発掘調査報告書,1,稲沢市教育委員会,19800331,稲沢市
塔の越遺跡発掘調査報告書,,稲沢市教育委員会,19800331,稲沢市
尾張国府跡発掘調査報告書,2,稲沢市教育委員会,19800321,稲沢市
下津城跡発掘調査概要報告書,1,稲沢市教育委員会,19800321,稲沢市
尾張国府跡発掘調査報告書,3,稲沢市教育委員会,19810331,稲沢市
下津城跡発掘調査概要報告書,2,稲沢市教育委員会,19810331,稲沢市
尾張国府跡緊急発掘調査報告書,,稲沢市教育委員会,19810331,稲沢市
尾張国府跡発掘調査報告書,4,稲沢市教育委員会,19820331,稲沢市
下津城跡発掘調査概要報告書,3,稲沢市教育委員会,19820331,稲沢市
大塚古墳範囲確認調査報告書,1,稲沢市教育委員会,19830331,稲沢市
尾張国府跡発掘調査報告書,5,稲沢市教育委員会,19830331,稲沢市
尾張国分寺跡緊急発掘調査報告書,,稲沢市教育委員会,19830000,稲沢市
尾張国府跡発掘調査報告書,6,稲沢市教育委員会,19840331,稲沢市
大塚古墳範囲確認調査報告書,2,稲沢市教育委員会,19840331,稲沢市
下津城跡発掘調査報告書,1,稲沢市教育委員会,19850331,稲沢市
尾張国府跡発掘調査報告書,7,稲沢市教育委員会,19850331,稲沢市
下津城跡緊急発掘調査報告書,,稲沢市教育委員会,19850331,稲沢市
儀長町埋蔵文化財発掘調査報告書,,稲沢市教育委員会,19850331,稲沢市
下津城跡発掘調査報告書,2,稲沢市教育委員会,19860331,稲沢市
尾張国府跡発掘調査報告書,8,稲沢市教育委員会,19860329,稲沢市
塔の越遺跡発掘調査概要報告書,,稲沢市教育委員会,19860329,稲沢市
下津城跡発掘調査報告書,3,稲沢市教育委員会,19870331,稲沢市
尾張国府跡発掘調査報告書,9,稲沢市教育委員会,19870330,稲沢市
下津城跡発掘調査報告書,4,稲沢市教育委員会,19880331,稲沢市
尾張国府跡発掘調査報告書,10,稲沢市教育委員会,19880330,稲沢市
稲沢市遺跡分布調査報告書,,稲沢市教育委員会,19890300,稲沢市
稲沢市遺跡分布調査報告書,,土田関連遺跡発掘調査団,19890331,稲沢市
尾張国府跡発掘調査報告書,11,稲沢市教育委員会,19890330,稲沢市
東畑廃寺跡発掘調査報告書,2,稲沢市教育委員会,19900300,稲沢市
東畑廃寺跡発掘調査報告書,3,稲沢市教育委員会,19910300,稲沢市
旧国鉄操車場跡地内試掘調査報告書,1,稲沢市教育委員会,19910300,稲沢市
東畑廃寺跡発掘調査報告書,4,稲沢市教育委員会,19920331,稲沢市
旧国鉄操車場跡地内試掘調査報告書,2,稲沢市教育委員会,19920331,稲沢市
東畑廃寺跡発掘調査報告書,5,稲沢市教育委員会,19930300,稲沢市
東畑廃寺跡発掘調査報告書,6,稲沢市教育委員会,19940331,稲沢市
旧国鉄操車場跡地内試掘調査報告書,3,稲沢市教育委員会,19940331,稲沢市
稲沢市内遺跡発掘調査報告書,1,稲沢市教育委員会,19950331,稲沢市
稲沢市内遺跡発掘調査報告書,2,稲沢市教育委員会,19960329,稲沢市
稲沢市内遺跡発掘調査報告書,3,稲沢市教育委員会,19970331,稲沢市
稲沢市内遺跡発掘調査報告書,4,稲沢市教育委員会,19980331,稲沢市
稲沢市内遺跡発掘調査報告書,5,稲沢市教育委員会,19990331,稲沢市
稲沢市内遺跡発掘調査報告書,6,稲沢市教育委員会,20020329,稲沢市
稲沢市内遺跡発掘調査報告書,7,稲沢市教育委員会,20030331,稲沢市
稲沢市内遺跡発掘調査報告書,8,稲沢市教育委員会,20040324,稲沢市
稲沢市内遺跡発掘調査報告書,9,稲沢市教育委員会,20050300,稲沢市
稲沢市内遺跡発掘調査報告書,10,稲沢市教育委員会,20070330,稲沢市
稲沢市内遺跡発掘調査報告書,11,稲沢市教育委員会,20080328,稲沢市
稲沢市内遺跡発掘調査報告書,12,稲沢市教育委員会,20090327,稲沢市
稲沢市内遺跡発掘調査報告書,13,稲沢市教育委員会,20100326,稲沢市
尾張国分寺跡発掘調査総括報告書,1,稲沢市教育委員会,20110712,稲沢市
稲沢市内遺跡発掘調査概要報告書,1,稲沢市教育委員会,20120300,稲沢市
稲沢市内遺跡発掘調査概要報告書,2,稲沢市教育委員会,20130329,稲沢市
稲沢市内遺跡発掘調査概要報告書,3,稲沢市教育委員会,20140327,稲沢市
稲沢市内遺跡発掘調査概要報告書,4,稲沢市教育委員会,20150327,稲沢市
稲沢市内遺跡発掘調査概要報告書,5,稲沢市教育委員会,20160329,稲沢市
尾張国分寺跡発掘調査総括報告書,2,稲沢市教育委員会,20180131,稲沢市
稲沢市内遺跡発掘調査概要報告書,6,稲沢市教育委員会,20190329,稲沢市
稲沢市内遺跡発掘調査概要報告書,7,稲沢市教育委員会,20200327,稲沢市
稲沢市内遺跡発掘調査報告書,14,稲沢市教育委員会,20230329,稲沢市
塔の越遺跡発掘調査報告書,2,塔の越遺跡発掘調査団,19880600,稲沢市
土田関連遺跡発掘調査概要報告書,,土田関連遺跡発掘調査団,19890300,稲沢市
土田関連遺跡発掘調査報告書,,土田関連遺跡発掘調査団,19890331,稲沢市
尾張大国霊神社境内緊急発掘調査報告書,,尾張大国霊神社境内緊急発掘調査団,19890331,稲沢市
土田関連遺跡発掘調査報告書,,土田関連遺跡発掘調査団,19890930,稲沢市
亀翁寺境内発掘調査報告書,,稲沢市内遺跡発掘調査団,19940300,稲沢市
北市場町地内埋蔵文化財発掘調査報告書,,稲沢市内遺跡発掘調査団,19960315,稲沢市
稲沢市遺跡分布地図,1,稲沢市教育委員会,20000300,稲沢市
稲沢市遺跡分布地図,2-4,稲沢市教育委員会,20000300,稲沢市
野口・北出遺跡発掘調査報告書,1,稲沢市内遺跡発掘調査委員会,20000331,稲沢市
下津北山遺跡発掘調査報告書,1,稲沢市内遺跡発掘調査委員会,20010330,稲沢市
下津陸田地区埋蔵文化財発掘調査報告書,,稲沢市内遺跡発掘調査委員会,20020329,稲沢市
下津公民館用地埋蔵文化財発掘調査報告書,,稲沢市内遺跡発掘調査委員会,20030300,稲沢市
下津北山遺跡発掘調査報告書,2,稲沢市内遺跡発掘調査委員会,20040310,稲沢市
大塚遺跡発掘調査報告書,,稲沢市内遺跡発掘調査委員会,20040330,稲沢市
陸田白山遺跡発掘調査報告書,,稲沢市内遺跡発掘調査委員会,20050300,稲沢市
稲沢市遺跡分布地図,5-7,稲沢市教育委員会,20060300,稲沢市
野口・北出遺跡発掘調査報告書,2,稲沢市内遺跡発掘調査委員会,20060300,稲沢市
稲沢市遺跡分布調査抄録,平成17年度,稲沢市内遺跡発掘調査委員会,20060300,稲沢市
塔の越遺跡発掘調査報告書,3,稲沢市内遺跡発掘調査委員会,20091225,稲沢市
新宮前遺跡発掘調査報告書,,稲沢市内遺跡発掘調査委員会,20110301,稲沢市
