タイトル,巻数,著者・編者,出版元,出版年
縄文社会論,上,安斎正人編,同成社,2002
縄文社会論,下,安斎正人編,同成社,2002
民族考古学序説,,民族考古学研究会 編,同成社,1998
縄文式生活構造 : 土俗考古学からのアプローチ,,安斎正人著,同成社,1998
吉備の考古学的研究,上,近藤義郎編,山陽新聞社,1992
吉備の考古学的研究,下,近藤義郎編,山陽新聞社,1992
絹の東伝 : 衣料の源流と変遷,,布目順郎著,小学館,1988
朝鮮半島の建築,,中西章著,理工学社,1989
縄文と弥生 : 日本文化の土台にあるもの,,岡本勇著,未來社,1998
出雲国風土記論究　上,古代文化叢書１ ,加藤義成著,島根県古代文化センター,1995
出雲国風土記論究　下,古代文化叢書２,加藤義成著,島根県古代文化センター,1996
出雲国風土記論,古代文化叢書４,朝山晧著,島根県古代文化センター,1998
出雲国風土記とその周辺,古代文化叢書５,朝山晧著,島根県古代文化センター,1999
山陰地方における古墳群と地域社会,古代文化叢書８,門脇俊彦著,島根県古代文化センター,2002
東海の博物館　改訂版,,中日新聞社開発局 編,中日新聞本社,1980
仮面,,,,
弥生時代の集落,,,,
元禄年間　山陵記録,,"秋山日出雄, 廣吉壽彦編",由良大和古代文化研究協会,1994
１９９３年度　岩宿大学講義録集　岩宿時代を知る,,笠懸野　岩宿文化資料館　編,笠懸町教育委員会,1995
鳥居龍蔵伝,,中薗英助 著,岩波書店,1995
日本の信仰遺跡 : 奈良国立文化財研究所埋蔵文化財研修の記録,,金子裕之編,雄山閣出版,1988
考古学研究入門,,H.J.エガース著　田中琢　佐原真　訳,岩波書店,1997
月の輪教室,,"美備郷土文化の会, 理論社編集部 編",理論社,1954
考古學研究法,,O・モンテリウス,雄山閣,1984
列島初期稲作の担い手は誰か,,古代学協会 編　下條信行 監修,すいれん舎,2014
縄文社会と弥生社会,,設楽博己著,敬文舎,2014
桶と樽 : 脇役の日本史,,小泉和子編,法政大学出版局,2000
平城宮阯調査報告,史蹟精査報告2,上田三平著,内務省,1926
拂田柵阯・城輪柵阯,史蹟精査報告3,上田三平著,文部省,1938
史蹟調査報告,5,,文部省,1930
"霊長類
 (人類学講座 2)",2,伊谷純一郎編集責任,雄山閣出版,1977
"進化
 (人類学講座 3)",3,近藤四郎編集責任,雄山閣出版,1983
"古人類
 (人類学講座 4)",4,埴原和郎編集責任,雄山閣出版,1981
"日本人1
 (人類学講座 5)",5,小片保編集責任,雄山閣出版,1978-1981
"日本人2
 (人類学講座 6)",6,小片保編集責任,雄山閣出版,1978-1981
"人種 
 (人類学講座 7)",7,寺田和夫編集責任,雄山閣出版,1977
"成長
 (人類学講座 8)",8,木村邦彦編集責任,雄山閣出版,1979
"適応
 (人類学講座 9)",9,香原志勢責任編集,雄山閣出版,1988
"遺伝
 (人類学講座 10)",10,"松永英, 尾本恵市編集責任",雄山閣出版,1977
"人口
 (人類学講座 11)",11,小林和正編集責任,雄山閣出版,1979
"生活 
 (人類学講座 13)",13,田辺義一編集責任,雄山閣出版,1981
人類學・先史學講座,第1巻,,雄山閣,1938-1940
人類學・先史學講座,第2巻,,雄山閣,1938-1940
人類學・先史學講座,第3巻,,雄山閣,1938-1940
人類學・先史學講座,第4巻,,雄山閣,1938-1940
人類學・先史學講座,第5巻,,雄山閣,1938-1940
人類學・先史學講座,第6巻,,雄山閣,1938-1940
人類學・先史學講座,第7巻,,雄山閣,1938-1940
人類學・先史學講座,第8巻,,雄山閣,1938-1940
人類學・先史學講座,第9巻,,雄山閣,1938-1940
人類學・先史學講座,第10巻,,雄山閣,1938-1940
人類學・先史學講座,第11巻,,雄山閣,1938-1940
人類學・先史學講座,第12巻,,雄山閣,1938-1940
人類學・先史學講座,第13巻,,雄山閣,1938-1940
人類學・先史學講座,第14巻,,雄山閣,1938-1940
人類學・先史學講座,第15巻,,雄山閣,1938-1940
人類學・先史學講座,第16巻,,雄山閣,1938-1940
人類學・先史學講座,第17巻,,雄山閣,1938-1940
人類學・先史學講座,第18巻,,雄山閣,1938-1940
人類學・先史學講座,第19巻,,雄山閣,1938-1940
"東洋考古學
 (世界歴史大系 ; 第2巻)",,"駒井和愛, 江上波夫, 後藤守一著",平凡社,1934
埴輪集成圖鑑　第一回,,帝室博物館編,帝室博物館,1931-
埴輪集成圖鑑　第二回,,帝室博物館編,帝室博物館,1931-
埴輪集成圖鑑　第三回,,帝室博物館編,帝室博物館,1931-
埴輪集成圖鑑　第四回,,帝室博物館編,帝室博物館,1931-
埴輪集成圖鑑　第五回,,帝室博物館編,帝室博物館,1931-
埴輪集成圖鑑　第六回,,帝室博物館編,帝室博物館,1931-
埴輪集成圖鑑　第七回,,帝室博物館編,帝室博物館,1931-
埴輪集成圖鑑　第八回,,帝室博物館編,帝室博物館,1931-
埴輪集成圖鑑　第九回,,帝室博物館編,帝室博物館,1931-
埴輪集成圖鑑　第十回,,帝室博物館編,帝室博物館,1931-
鞍馬寺經塚遺寶,[本体],田澤金吾編纂,鞍馬寺,1933
鞍馬寺經塚遺寶,図版,田澤金吾編纂,鞍馬寺,1933
平安京古瓦圖録,解説篇,平安博物館編,雄山閣出版,1977
平安京古瓦圖録,図録篇,平安博物館編,雄山閣出版,1977
日本馬具大鑑,第1巻,日本馬具大鑑編集委員会編,日本中央競馬会,1992
日本馬具大鑑,第2巻,日本馬具大鑑編集委員会編,日本中央競馬会,1992
日本馬具大鑑,第3巻,日本馬具大鑑編集委員会編,日本中央競馬会,1992
日本馬具大鑑,第4巻,日本馬具大鑑編集委員会編,日本中央競馬会,1992
大和国条里復原図,地図,奈良県立橿原考古学研究所編,奈良県教育委員会,1980
飛鳥白鳳の古瓦 ,[本編],奈良国立博物館編,東京美術,1970
飛鳥白鳳の古瓦,実測図,奈良国立博物館編,東京美術,1970
方格規矩四神鏡図録,,京都国立博物館,京都国立博物館,1970
大和出土の国宝・重要文化財,,橿原考古学研究所附属博物館編,同朋舎出版,1983
正倉院の陶器,,正倉院事務所編,日本経済新聞社,1971
ペルシアの古陶器,,"深井晋司, 高橋敏 [著]",淡交社,1980
日本の陶磁 : 平野耕輔先生記念出版,,"奥田誠一, 小山冨士夫, 林屋晴三編",東都文化出版,1954
高麗陶磁の研究,,野守健著,清閑舎,1944
日本古燈器大観,,照明学会編,つかさ書房,1975
弥生土器の様式と編年,山陽・山陰編,"正岡睦夫, 松本岩雄編",木耳社,1992
弥生土器の様式と編年,近畿編 1,"寺沢薫, 森岡秀人編",木耳社,1989-1990
弥生土器の様式と編年,近畿編 2,"寺沢薫, 森岡秀人編",木耳社,1989-1990
シンポジウム縄文貝塚の謎,,石井則孝　金子浩昌　後藤和民　藤村東男　堀越正行　,新人物往来社,1978
卑弥呼と邪馬台国の謎,,木村 煕著,近代文藝社,2002
卑弥呼の食卓,,大阪府立弥生文化博物館編,吉川弘文館,1999
九州弥生文化の研究,,柳田康雄著,学生社,2002
古鏡,,,,
勾玉,,,,
邪馬台国時代の東日本,,国立歴史民俗博物館 編,六興出版,1991
垣間みた吉備の原始古代,,近藤義郎著,吉備人出版,1997
荒神谷遺跡の謎ブックレット１　なぜ埋められたのか,,斐川町,斐川町,1990
荒神谷遺跡の謎ブックレット２　だれが埋めたのか,,斐川町,斐川町,1990
荒神谷遺跡の謎ブックレット３　銅剣358本はどこで作られたのか,,斐川町,斐川町,1991
荒神谷遺跡の謎ブックレット４　荒神谷遺跡と神話,,斐川町,斐川町,1992
荒神谷遺跡の謎ブックレット６　荒神谷遺跡と環日本海(東海) ,,斐川町,斐川町,1994
色彩のアルケオロジ―,,小町谷朝生著,勁草書房,1987
藤原鎌足とその時代,,青木和夫、田辺昭三編,吉川弘文館,1997
海が語る古代交流,,朝日新聞社,葦書房,1990
天竜川・豊川流域文化圏から東・西日本をみる,,愛知大学綜合郷土研究所,名著出版,1995
潜龍考古雑記Ⅰ,,大竹憲治著,竹禅庵文庫,1994
世界史のなかの縄文,,佐原真著 小林達雄著,新書館,2001
縄文の豊さと限界,,今村啓爾著,山川出版社,2002
列島考古学の再構築,,板橋旺爾著,学生社,2003
弥生文化の成立,,金関恕編　大阪府立弥生文化博物館編,角川書店,1995
考古学と民族誌 : 渡辺仁教授古稀記念論文集,,渡辺仁教授古稀記念論文集刊行会編,六興出版,1989
弥生文化の源流考 : 雲南省佤族の精査と新発見,,"鳥越憲三郎, 若林弘子著",大修館書店,1998
藤ノ木古墳の全貌,,橿原考古学研究所編,学生社,1993
邪馬台国の考古学,,稲田晃著,成美堂出版,1977
卑弥呼と倭王 : 倭人伝・記紀の再検討,,阿部秀雄著,講談社,1971
九州考古学散歩,,小田富士雄編著,学生社,2000
邪馬台国と吉野ケ里,,"金関恕, 佐原真[ほか]著
東京新聞吉野ケ里取材班編",学生社,1997
倭人をとりまく世界 : 2000年前の多様な暮らし(歴博フォーラム),,国立歴史民俗博物館編,山川出版社,2000
前方後円墳と弥生墳丘墓,,近藤義郎著,青木書店,1995
荒神谷遺跡と青銅器 : 科学が解き明かす荒神谷の謎,,島根県古代文化センター編,同朋舎出版,1995
古墳時代の比較考古学 : 日本考古学の未来像を求めて,,川西宏幸著,同成社,1999
人物埴輪の研究,,稲村繁著,同成社,1999
吉野ヶ里遺跡と古代国家,,佐賀県教育委員会編,吉川弘文館,1995
近江の考古学,,小笠原好彦著,サンライズ出版,2000
三世紀の自然と人間 (三世紀の考古学 上巻),上,森浩一編,学生社,1980
三世紀の遺跡と遺物 (三世紀の考古学 中巻),中,森浩一編,学生社,1981
三世紀の日本列島 (三世紀の考古学 下巻),下,森浩一編,学生社,1983
西日本後期旧石器文化の研究,,松藤和人著,学生社,1998
近畿の古墳文化,,泉森皎著,学生社,1999
前方後円墳に学ぶ,,近藤義郎著,山川出版社,2001
前方後円墳の成立,,近藤義郎著,岩波書店,1998
古墳と古墳群の研究 ,,白石太一郎著,塙書房,2000
東国の装飾古墳,,日下八光著,雄山閣出版,1998
淀江町国際シンポジウム　上淀廃寺彩色壁画の謎を追う,,淀江町教育委員会編,今井書店,1993
飛鳥の古墳を語る,,猪熊兼勝著,吉川弘文館,1994
継体天皇と今城塚古墳,,高槻市教育委員会編,吉川弘文館,1997
河内飛鳥と終末期古墳 : 横口式石槨の謎,,羽曳野市教育委員会編,吉川弘文館,1998
古墳が消えるとき,,橿原考古学研究所編,学生社,1997
天皇陵古墳,,森浩一編,大巧社,1996
古墳時代像を見なおす,,北条芳隆/溝口孝司/村上恭通著,青木書店,2000
古代豪族と朝鮮,,京都文化博物館編,新人物往来社,1991
全国古墳編年集成,,石野博信編,雄山閣出版,1995
装飾古墳が語るもの : 古代日本人の心象風景,,国立歴史民俗博物館編,吉川弘文館,1995
古代の技 : 藤ノ木古墳の馬具は語る,,"勝部明生, 鈴木勉著",吉川弘文館,1998
はにわ人は語る (歴博フォーラム),,国立歴史民俗博物館編,山川出版社,1999
福岡の古代を掘る : 大宰府から海の中道へ,,朝日新聞福岡本部編,葦書房,1992
風土記の考古学 : 古代人の自然観,,辰巳和弘著,白水社,1999
DNA考古学 ,,佐藤洋一郎著,東洋書店,1999
古代木簡の研究 (日本史学研究叢書),,今泉隆雄著,吉川弘文館,1998
土と日本古代文化 : 日本文化のルーツを求めて--文化土壌学試論,,藤原彰夫著,博友社,1991
大宰府領の研究,,正木喜三郎著,文献出版,1991
古代出土文字資料の研究,,高島英之著,東京堂出版,2000
日本古墳の研究,,斎藤忠著,吉川弘文館,1961
横穴式古墳の研究,,尾崎喜左雄著,吉川弘文館,1966
日本横穴式石室の系譜,,土生田純之著,学生社,1991
論集騎馬民族征服王朝説 (日本古代文化叢書),,江上波夫[ほか]著 ; 鈴木武樹編,大和書房,1975
古墳の設計,,椚国男著,築地書館,1975
わが国古代製鉄と日本刀,,長谷川熊彦著,技術書院,1977
世界の考古学,,網干善教編,関西大学出版部,2000
日本古代宮都構造の研究,,小澤毅著,青木書店,2003
東日本の古墳の出現,,"甘粕健, 春日真実編",山川出版社,1994
考古学ライブラリー５２　玉,,藤田富士夫著,ニュー・サイエンス社,1987
理論考古学入門,,安斎正人著,柏書房,2004
国家の支配としくみ (木簡が語る古代史 ; 下),,"平野邦雄, 鈴木靖民編",吉川弘文館,2001
近江の古代寺院,[本篇],小笠原好彦 [ほか] 著,近江の古代寺院刊行会,1989
近江の古代寺院,図版篇,小笠原好彦 [ほか] 著,近江の古代寺院刊行会,1989
謎の古代豪族紀氏,,和歌山県文化財センター編,清文堂出版,1999
日本の翡翠 : その謎を探る,,寺村光晴著,吉川弘文館,1995
たたら吹製鉄の技術と構造の考古学的研究,,河瀬正利[著],渓水社,1995
日本の鉄器文化 : 鍛冶屋の比較民俗学  (考古民俗叢書),,朝岡康二著,慶友社,1993
古墳文化論考,,小林行雄著,平凡社,1976
「おおやまと」の古墳集団,,伊達宗泰著,学生社,1999
鉄の古代史,1 弥生時代,奥野正男著,白水社,1991-2000
鉄の古代史,2 古墳時代,奥野正男著,白水社,1991-2000
蝦夷と倭人 (シリーズ日本史のなかの考古学),,阿部義平著,青木書店,1999
荘園の考古学 (シリーズ日本史のなかの考古学),,宇野隆夫著,青木書店,2001
考古学つれづれ草,,佐原真著,小学館,2002
日本丸木舟の研究,,川崎晃稔著,法政大学出版局,1991
百舌鳥・古市古墳群の研究,,田中晋作著,学生社,2001
古代蝦夷の考古学,,工藤雅樹著,吉川弘文館,1998
東北考古学・古代史学史,,工藤雅樹著,吉川弘文館,1998
探訪縄文の遺跡  (有斐閣選書R ; 33),西日本編,"戸沢充則, 潮見浩編",有斐閣,1985
探訪縄文の遺跡  (有斐閣選書R ; 34),東日本編,"戸沢充則, 潮見浩編",有斐閣,1985
探訪先土器の遺跡 (有斐閣選書R ; 18),,"戸沢充則, 安蒜政雄編",有斐閣,1983
探訪日本の古墳  (有斐閣選書R ; 2),西日本編,"大塚初重, 森浩一編",有斐閣,1981
探訪日本の古墳  (有斐閣選書R ; 3),東日本編,"大塚初重, 森浩一編",有斐閣,1981
富本銭と謎の銀銭 : 貨幣誕生の真相,,今村啓爾著,小学館,2001
異系統土器の出会い,,今村啓爾著,同成社,2011
飛鳥池遺跡,,飛鳥資料館,飛鳥資料館,2000
九州の古代文化十二講,,小田富士雄著,文栄出版,1987
古墳時代史論,上巻,"岩崎卓也著
岩崎卓也先生古墳時代著作集編集の会編集",雄山閣出版,2000
古墳時代史論,下巻,"岩崎卓也著
岩崎卓也先生古墳時代著作集編集の会編集",雄山閣出版,2000
倭人伝の国々,,小田富士雄編,学生社,2000
日本民族の感性世界 : 考古学から文化分析学へ,,竹岡俊樹著,同成社,1996
北方文化の考古土俗学,,稲生典太郎著,岩田書院,1997
実在した神話,,原田大六著,学生社,1966
仏教考古学の構想 : その視点と展開,,坂詰秀一著,雄山閣出版,2000
仏教考古学研究,,石村喜英著,雄山閣出版,1993
東アジア的考古世界・九州,,森貞次郎著 ; 森貞次郎先生著書刊行会編,森貞次郎先生著書刊行会,1999
縄文うるしの世界,,飯塚俊男編,青木書店,2000
日本の美術　１１８　押出仏と塼仏,,久野健編,至文堂,1976
日本の美術　３７１　古墳時代の装身具,,町田章編,至文堂,1997
日本の美術　４２３　環境考古学,,松井章著,至文堂,2001
大和の終末期古墳,,河上邦彦著,学生社,2005
アイヌ考古学 (教育社歴史新書 . 日本史 ; 102),:新装,宇田川洋著,教育社,1985
弥生土器,1,佐原真編,ニュー・サイエンス社,1983
弥生土器,2,佐原真編,ニュー・サイエンス社,1983
考古学の基本的問題 (日本考古学論集 ; 1),1,斉藤忠編集,吉川弘文館,1986
集落と衣食住  (日本考古学論集 ; 2),2,斉藤忠編集,吉川弘文館,1986
呪法と祭祀・信仰  (日本考古学論集 ; 3),3,斉藤忠編集,吉川弘文館,1986
容器・道具と宝器 (日本考古学論集 ; 4),4,斉藤忠編集,吉川弘文館,1986
生業・生産と技術 (日本考古学論集 ; 5),5,斉藤忠編集,吉川弘文館,1986
墳墓と経塚  (日本考古学論集 ; 6),6,斉藤忠編集,吉川弘文館,1987
官衙と寺院 (日本考古学論集 ; 7),7,斉藤忠編集,吉川弘文館,1987
武器・馬具と城柵 (日本考古学論集 ; 8),8,斉藤忠編集,吉川弘文館,1987
北方文化と南島文化 (日本考古学論集 ; 9),9,斉藤忠編集,吉川弘文館,1987
日本と大陸の古文化  (日本考古学論集 ; 10),10,斉藤忠編集,吉川弘文館,1987
日本人の骨とルーツ,,埴原和郎著,角川書店,1997
画像が語る中国の古代 (イメージ・リーディング叢書),,渡部武著,平凡社,1991
中國の佛教美術,,水野清一著,平凡社,1968
古墳時代須恵器の編年的研究 (ポテンティア叢書 ; 26),26,中村浩著,柏書房,1993
前方後円墳と古代日朝関係,,朝鮮学会編,同成社,2002
継体大王と尾張の目子媛,,網野善彦著,小学館,1994
美濃の前期古墳 : 前方後方墳のルーツを問う,,美濃古墳文化研究会編,教育出版文化協会,1990
和泉陶邑窯の研究 : 須恵器生産の基礎的考察,,中村浩著,柏書房,1981
概説中世の土器・陶磁器,,中世土器研究会編,真陽社,1995
中国文明の誕生,,林巳奈夫著,吉川弘文館,1995
中国周文化考古学研究,,飯島武次著,同成社,1998
朝鮮古代遺跡の遍歴 : 発掘調査三十年の回想,,小泉顕夫著,六興出版,1986
伽耶と古代東アジア,,小田富士雄 [ほか] 著,新人物往来社,1993
日韓古代宮都の研究,,亀田博著,学生社,2000
樹皮の文化史,,名久井文明著,吉川弘文館,1999
新しい考古学と古代マヤ文明,,ジェレミー・A・サブロフ [著] ; 青山和夫訳,新評論,1998
魔道に魅入られた男たち : 揺籃期の考古学界,,杉山博久著,雄山閣出版,1999
東北アジアの青銅器文化,,王建新著,同成社,1999
雲南農耕文化の起源 : 少数民族農耕具の研究,,尹紹亭著,第一書房,1999
月の輪古墳 (吉備考古ライブラリィ ; 1),1,近藤義郎著,吉備人出版,1998
中国古代文明の形成(中国青銅時代 第2集),2,"張光直著 ; 小南一郎, 間瀬収芳訳",平凡社,2000
初期文明の比較考古学,,B.G.トリッガー著 ; 川西宏幸訳,同成社,2001
近世蝦夷地農作物年表,,山本正編,北海道大学図書刊行会,1996
食の復元  (帝京大学山梨文化財研究所[研究集会報告集] ; 2 . 遺跡・遺物から何をよみとるか),2,"櫛原功一, 帝京大学山梨文化財研究所編",岩田書院,1999
美濃國史料,郡上篇,阿部榮之助編,美濃國史料刊行會,1934-1937
奈良朝以前寺院址の研究,,たなかしげひさ著,白川書院,1978
土器からみた日韓交渉,,武末純一著,学生社,1991
九州考古学研究(小田富士雄著作集),歴史時代各論篇,小田富士雄著,学生社,1977-1990
九州考古学研究(小田富士雄著作集),弥生時代篇,小田富士雄著,学生社,1977-1990
九州考古学研究(小田富士雄著作集),文化交渉篇,小田富士雄著,学生社,1977-1990
須恵器生産の研究,,山田邦和著,学生社,1998
金属器・土器・石器 (河野広道ノート 考古篇 ; 5),5,"河野広道著 
宇田川洋編",,1984
墓制①  (東アジアと日本の考古学 1),1,"後藤直, 茂木雅博編",同成社,2001-2002
墓制②  (東アジアと日本の考古学 2),2,"後藤直, 茂木雅博編",同成社,2001-2002
交流と交易 (東アジアと日本の考古学 3),3,"後藤直, 茂木雅博編",同成社,2003
九州考古学研究(小田富士雄著作集),歴史時代篇,小田富士雄著,学生社,1977-1990
九州考古学研究(小田富士雄著作集),古墳時代篇,小田富士雄著,学生社,1977-1990
九州考古学研究(小田富士雄著作集),上巻 : 弥生・古墳時代篇,小田富士雄著,学生社,1985
九州考古学研究(小田富士雄著作集),下巻 : 歴史時代・韓国篇,小田富士雄著,学生社,1985
日本の時代史１　倭国誕生,,白石太一郎編,吉川弘文館,2002
日本の時代史２　倭国と東アジア,,石上英一著,吉川弘文館,2002
日本考古学の概観 (末永雅雄著作集 ; 第1巻),1,末永雅雄著,雄山閣,1990
古墳の外形・内部構造・副葬品 (末永雅雄著作集 ; 第2巻),2,末永雅雄著,雄山閣,1990
飛鳥京調査と古墳 (末永雅雄著作集 ; 第3巻),3,末永雅雄著,雄山閣,1991
日本の武器 : 「大刀と外装」 (末永雅雄著作集 ; 第4巻),4,末永雅雄著,雄山閣,1991
遺跡調査と大和・河内  (末永雅雄著作集 ; 第5巻),5,末永雅雄著,雄山閣,1990
日本の考古学 : ドイツ展記念概説,上,奈良文化財研究所編集,学生社,2007
日本の考古学 : ドイツ展記念概説,下,奈良文化財研究所編集,学生社,2007
土器研究の新視点,,大手前大学史学研究所編,六一書房,2007
シベリアの先史文化と日本 (人類史叢書 ; 3),3,加藤晋平著,六興出版,1985
中国の稲作起源 (人類史叢書 ; 7),7,"陳文華,渡部武編",六興出版,1989
シンポジウム三角縁神獣鏡,,福永伸哉 [ほか著],学生社,2003
古代王権の誕生,,,,
岩波講座　日本歴史,1　原始・古代１,"大津透,佐藤宏之ほか編",岩波書店,2013
岩波講座　日本歴史,2　古代２,"大津透, 桜井英治ほか編",岩波書店,2014
元明時代窯業史研究,,佐々木達夫著,吉川弘文館,1985
宗教民族學(人類學叢書 ; 第6編),,宇野圓空著,岡書院,1929
名古屋の史跡と文化財,,名古屋市教育委員会編,名古屋市教育委員会,1970
頭骨の文化史,,"ヘンシェン著 ; 鈴木誠, 高橋譲共訳",築地書館,1974
日本石器時代遺物發見地名表,[本編],東京帝國大学編,岡書院,1928-1930
雲南の生活と技術(アジア文化叢書),,"C・ダニエルス, 渡部武編",慶友社,1994
春日井市近世村絵図集,,春日井市史編纂委員会編,不明,
新安海底遺物,資料篇 2,文化公報部文化財管理局編,文化公報部文化財管理局,1981-1988
"ドゥルマン・テペとラルマ : アフガニスタンにおける仏教遺跡の調査1963-1965
 (京都大学イラン・アフガニスタン・パキスタン学術調査報告).",,水野清一編,京都大学,1963-
先史の世界,世界の大遺跡1,"木村重信編著 ; 木村重信 [ほか] 撮影 ; 木村重信, 大村正子執筆",講談社,1987
ナイルの王墓と神殿,世界の大遺跡2,櫻井清彦編著 ; 熊瀬川紀 [ほか] 撮影 ; 吉村作治 [ほか] 執筆,講談社,1986
地中海アジアの古都,世界の大遺跡3,小川英雄編著 ; 講談社写真部 [ほか] 撮影,講談社,1987
メソポタミアとペルシア,世界の大遺跡4,増田精一編著 ; 講談社 [ほか] 撮影 ; 吉川守 [ほか] 執筆,講談社,1988
エーゲとギリシアの文明,世界の大遺跡5,三浦一郎編著 ; 講談社写真部 [ほか] 撮影 ; 安永信二 [ほか] 執筆,講談社,1987
ローマ帝国の栄光,世界の大遺跡6,弓削達編著 ; 赤地経夫 [ほか] 撮影 ; 平田隆一 [ほか] 執筆,講談社,1987
シルクロードの残映,世界の大遺跡7,杉山二郎編著 ; 講談社 [ほか] 撮影,講談社,1988
インドの聖域,世界の大遺跡8,樋口隆康編著 ; 田村仁 [ほか] 撮影 ; 小西正捷 [ほか] 執筆,講談社,1988
古代中国の遺産,世界の大遺跡9,樋口隆康編著 ; 文物出版社 [ほか] 撮影 ; 秋山進午 [ほか] 執筆,講談社,1988
古代朝鮮のあけぼの,世界の大遺跡10,上原和編集 ; 黒田一成 [ほか] 撮影 ; 西谷正 [ほか] 執筆,講談社,1988
日本文化の開花,世界の大遺跡11,森浩一編著 ; 講談社写真部 [ほか] 撮影,講談社,1988
アンコールとボロブドゥール,世界の大遺跡12,大林太良編著 ; 蔵野幸雄 [ほか] 撮影 ; 千原大五郎 [ほか] 執筆,講談社,1987
マヤとインカ,世界の大遺跡13,大貫良夫編著 ; 片平孝 [ほか] 撮影 ; 加藤泰建 [ほか] 執筆,講談社,1987
和鏡,,保坂三郎著 ; 米田太三郎撮影,人文書院,1973
平城京条坊総合地図,奈良文化財研究所史料60,奈良文化財研究所,奈良文化財研究所,2003
日本分県地図地名総覧 ,1965年版,人文社編集部編,人文社,1958-
日本美術略史,,帝室博物館編,便利堂,1938
茶壺,研究篇・資料篇,徳川義宣著,淡交社,1982
茶壺,本篇,徳川義宣著,淡交社,1982
日本埴輪圖集,上,東京帝室博物館編,歴史参考圖刊行會,1920
日本埴輪圖集,下,東京帝室博物館編,歴史参考圖刊行會,1920
生体計測法 (人類学講座 　別巻1 . 人体計測法 ; 1),1,江藤盛治編集責任,雄山閣出版,1991
人骨計測法 (人類学講座 　別巻1 . 人体計測法 ; 2),2,江藤盛治編集責任,雄山閣出版,1991
考古學研究法 / 濱田耕作[著] . 原史時代武器と武装 / 後藤守一[著],考古学講座 ; 第1巻,"濱田耕作[著] 
後藤守一[著]",雄山閣,1928
漆工史 / 六角紫水著,考古学講座 ; 第3巻,六角紫水著,雄山閣,1928
瓦 / 關野貞著,考古学講座 ; 第5巻,關野貞著,雄山閣,1928
支那考古學に關する最近の諸發見 / 石田幹之助著 . 梵鐘 / 坪井良平著,考古学講座 ; 第7巻,"石田幹之助著
坪井良平著",雄山閣,1928
"瓦 / 關野貞著 . 城郭及城址 / 大類伸, 鳥羽正雄著",考古学講座 ; 第9巻,"關野貞著
大類伸, 鳥羽正雄著",雄山閣,1928
貨幣 [前編] / 三上香哉著,考古学講座 ; 第11巻,三上香哉著,雄山閣,1929-1930
歐洲舊石器時代 / 大山柏著,考古学講座 ; 第13巻,大山柏著,雄山閣,1929
米國収藏の支那遺物 / 原田淑人著 . 貨幣 / 三上香哉著,考古学講座 ; 第15巻,"原田淑人著
三上香哉著",雄山閣,1929
神代ながらの新嘗御親祭 / 關根正直著 . 史蹟と考古學 / 柴田常惠著 . 附録人骨測定表 / 清野謙次著,考古学講座 ; 第17巻,"關根正直著
柴田常惠著
清野謙次著",雄山閣,1929
先史時代遺跡 / 八幡一郎著 . 古墳 / 島田貞彦著,考古学講座 ; 第19巻,"八幡一郎著
島田貞彦著",雄山閣,1929
"墳墓 / 高橋健自, 森本六爾, 和田千吉共著",考古学講座 ; 第21巻,"高橋健自, 森本六爾, 和田千吉共著",雄山閣,1929
古代建築 / 伊東忠太著 . 刀劍 / 小此木忠七郎著,考古学講座 ; 第23巻,"伊東忠太著
小此木忠七郎著",雄山閣,1930
上古の工藝 / 後藤守一著,考古学講座 ; 第25巻,後藤守一著,雄山閣,1930
貨幣 後編[1]/ 三上香哉著,考古学講座 ; 第27巻,三上香哉著,雄山閣,1929-1930
板碑 / 中島利一郎著 . 石製品 / 後藤守一著,考古学講座 ; 第29巻,"中島利一郎著
後藤守一著",雄山閣,1930
"武家時代の城郭及城址 / 大類伸 , 鳥羽正雄著",考古学講座 ; 第31巻,"大類伸 , 鳥羽正雄著",雄山閣,1930
經塚(續編) / 石田茂作著 . 板碑 / 中島利一郎著,考古学講座 ; 第33巻,"石田茂作著
中島利一郎著",雄山閣,1930
考古学 (論集日本文化の起源 ; 1),1,小林行雄編,平凡社,1971
日本史 (論集日本文化の起源 ; 2),2,上田正昭編,平凡社,1971
民族学1 (論集日本文化の起源 ; 3),3,松本信広編,平凡社,1971-1984
民族学2 (論集日本文化の起源 ; 4),4,松本信広編,平凡社,1971-1984
アンデスの考古学,世界の考古学1,"関雄二著
藤本強, 菊池徹夫監修",同成社,1997
アンデスの考古学,世界の考古学1,"関雄二著
藤本強, 菊池徹夫監修",同成社,2010
ギリシャの考古学,世界の考古学３,"周藤芳幸著
藤本強, 菊池徹夫監修",同成社,1998
エジプトの考古学,世界の考古学４,"近藤二郎著
藤本強, 菊池徹夫監修",同成社,2012
西アジアの考古学,世界の考古学５,"大津忠彦,常木晃,西秋良宏著
藤本強, 菊池徹夫監修",同成社,1997
中央ユーラシアの考古学,世界の考古学6,"藤川繁彦編
藤本強, 菊池徹夫監修",同成社,1999
中国の考古学,世界の考古学7,"小澤正人, 谷豊信, 西江清高著
藤本強, 菊池徹夫監修",同成社,1999
東南アジアの考古学,世界の考古学8,"坂井隆, 西村正雄, 新田栄治著
藤本強, 菊池徹夫監修",同成社,1998
東北アジアの考古学,世界の考古学9,"大貫静夫著
藤本強, 菊池徹夫監修",同成社,1998
